"N","GR","WL%","PGR","PWL%","CC","C","HOF","Sport"
"AJ Hinch",6.30864197530864,0.558,4.54545454545455,0.56,2,1,0,"baseball"
"Aaron Boone",2,0.627,1.27272727272727,0.5,0,0,0,"baseball"
"Aaron Kromer",0.375,0.333,0,0,0,0,0,"football"
"Abe Gibron",2.625,0.274,0,0,0,0,0,"football"
"Adam Gase",4,0.469,0.333333333333333,0,0,0,0,"football"
"Adam Oates",1.58536585365854,0.575221238938053,0.4375,0.429,0,0,0,"hockey"
"Adam Walsh",1.3125,0.75,0.333333333333333,1,1,1,0,"football"
"Al Arbour",19.5975609756098,0.57542310522443,13.0625,0.589,4,4,1,"hockey"
"Al Attles",13.109756097561,0.518,3.8125,0.508,1,1,0,"basketball"
"Al Bianchi",2,0.323,0,0,0,0,0,"basketball"
"Al Buckenberger",6.43827160493827,0.475,0,0,0,0,0,"baseball"
"Al Cervi",6.91463414634146,0.575,3.6875,0.559,1,1,0,"basketball"
"Al Cornsweet",0.625,0.2,0,0,0,0,0,"football"
"Al Dark",12.037037037037,0.51,1.72727272727273,0.526,2,1,0,"baseball"
"Al Davis",2.625,0.59,0,0,0,0,1,"football"
"Al Groh",1,0.563,0,0,0,0,0,"football"
"Al Jolley",0.75,0.091,0,0,0,0,0,"football"
"Al Lopez",14.9691358024691,0.584,0.909090909090909,0.2,2,0,1,"baseball"
"Al MacNeil",3.73170731707317,0.549800796812749,2.6875,0.512,1,1,0,"hockey"
"Al Nesser",0.125,0,0,0,0,0,0,"football"
"Al Pedrique",0.512345679012346,0.265,0,0,0,0,0,"baseball"
"Al Pierotti",0.3125,0.5,0,0,0,0,0,"football"
"Al Pratt",0.685185185185185,0.464,0,0,0,0,0,"baseball"
"Al Reach",0.0679012345679012,0.364,0,0,0,0,0,"baseball"
"Al Saunders",2.4375,0.436,0,0,0,0,0,"football"
"Al Sims",1,0.364864864864865,0,0,0,0,0,"hockey"
"Al Spalding",0.777777777777778,0.624,0,0,1,0,1,"baseball"
"Al Wright",0.37037037037037,0.237,0,0,0,0,0,"baseball"
"Alain Nasreddine",0.524390243902439,0.542857142857143,0,0,0,0,0,"hockey"
"Alain Vigneault",15.6707317073171,0.60174672489083,8.6875,0.489,0,0,0,"hockey"
"Alan Trammell",3.01851851851852,0.382,0,0,0,0,1,"baseball"
"Albert Soar",0.231707317073171,0.105,0,0,0,0,0,"basketball"
"Aldo Donelli",0.9375,0.267,0,0,0,0,0,"football"
"Aldo Guidolin",0.719512195121951,0.235294117647059,0,0,0,0,0,"hockey"
"Alex Cora",2,0.593,1.27272727272727,0.786,1,1,0,"baseball"
"Alex Curry",0.439024390243902,0.75,0.125,0.25,0,0,0,"hockey"
"Alex Delvecchio",2.98780487804878,0.384976525821596,0,0,0,0,1,"hockey"
"Alex Grammas",2.02469135802469,0.418,0,0,0,0,0,"baseball"
"Alex Hannum",10.7682926829268,0.533,4.9375,0.57,2,2,1,"basketball"
"Alex McKinnon",0.240740740740741,0.158,0,0,0,0,0,"baseball"
"Alex Romeril",0.158536585365854,0.583333333333333,0,0,0,0,0,"hockey"
"Alex Webster",4.375,0.421,0,0,0,0,0,"football"
"Alf Pike",1.5,0.352941176470588,0,0,0,0,0,"hockey"
"Alf Smith",0.219512195121951,0.666666666666667,0.3125,0.2,0,0,1,"hockey"
"Alfred McGall",0.1875,0,0,0,0,0,0,"football"
"Algy Clark",0.5,0,0,0,0,0,0,"football"
"Allan Bristow",5,0.505,0.8125,0.385,0,0,0,"basketball"
"Allan Sothoron",0.0493827160493827,0.25,0,0,0,0,0,"baseball"
"Allie Sherman",7,0.528,1,0,0,0,0,"football"
"Alpo Suhonen",1,0.420289855072464,0,0,0,0,0,"hockey"
"Alvin Gentry",13.3780487804878,0.463,1.875,0.567,0,0,0,"basketball"
"Alvin Julian",1.5609756097561,0.367,0,0,0,0,1,"basketball"
"Andre Beaulieu",0.390243902439024,0.206896551724138,0,0,0,0,0,"hockey"
"Andre Savard",0.292682926829268,0.434782608695652,0,0,0,0,0,"hockey"
"Andrew Levane",3.36585365853659,0.384,0.125,0,0,0,0,"basketball"
"Andrew Thompson",0.0555555555555556,0.25,0,0,0,0,0,"baseball"
"Andy Cohen",0.00617283950617284,1,0,0,0,0,0,"baseball"
"Andy Green",3.95061728395062,0.428,0,0,0,0,0,"baseball"
"Andy Murray",9,0.545901639344262,1.75,0.357,0,0,0,"hockey"
"Andy Phillip",0.121951219512195,0.6,0,0,0,0,0,"basketball"
"Andy Reid",21,0.618,9.66666666666667,0.517,2,1,0,"football"
"Andy Salata",0.5625,0.125,0,0,0,0,0,"football"
"Anthony Lynn",3.0625,0.531,0.666666666666667,0.5,0,0,0,"football"
"Archie Golembeski",0.75,0.545,0,0,0,0,0,"football"
"Arlie Latham",0.0185185185185185,0,0,0,0,0,0,"baseball"
"Arnie Horween",1.375,0.619,0,0,0,0,0,"football"
"Art Chapman",1.17073170731707,0.292682926829268,0,0,0,0,0,"hockey"
"Art Duncan",0.975609756097561,0.455882352941176,0.125,0.25,0,0,0,"hockey"
"Art Fletcher",3.84567901234568,0.382,0,0,0,0,0,"baseball"
"Art Howe",13.9876543209877,0.498,1.36363636363636,0.4,0,0,0,"baseball"
"Art Lewis",0.5,0.5,0,0,0,0,0,"football"
"Art Ross",9.78048780487805,0.557284299858557,4.375,0.493,2,2,1,"hockey"
"Art Shell",6.75,0.519,1.66666666666667,0.4,0,0,1,"football"
"Arthur Irwin",5.32716049382716,0.493,0,0,1,0,0,"baseball"
"Austin Higgins",0.125,0,0,0,0,0,0,"football"
"Avery Johnson",5.36585365853659,0.577,2.9375,0.489,1,0,0,"basketball"
"Babe Ruetz",1.9375,0.56,0,0,0,0,0,"football"
"Barclay Plager",2.17073170731707,0.337931034482759,0.25,0.25,0,0,0,"hockey"
"Barney Stanley",0.280487804878049,0.19047619047619,0,0,0,0,1,"hockey"
"Barry Long",2.5,0.483333333333333,0.6875,0.273,0,0,0,"hockey"
"Barry Melrose",2.74390243902439,0.4375,1.5,0.542,0,0,0,"hockey"
"Barry Smith",0.0609756097560976,0.8,0,0,0,0,0,"hockey"
"Barry Switzer",4,0.625,2.33333333333333,0.714,1,1,0,"football"
"Barry Trotz",20.4146341463415,0.57758031442242,7.5625,0.488,1,1,0,"hockey"
"Bart Starr",8.1875,0.408,0.666666666666667,0.5,0,0,1,"football"
"Ben Chapman",2.92592592592593,0.415,0,0,0,0,0,"baseball"
"Ben McAdoo",1.75,0.464,0.333333333333333,0,0,0,0,"football"
"Benny Friedman",0.875,0.357,0,0,0,0,1,"football"
"Bep Guidolin",2.79268292682927,0.478048780487805,1.3125,0.524,0,0,0,"hockey"
"Bernie Bickerstaff",11.4268292682927,0.447,2.0625,0.364,0,0,0,"basketball"
"Bernie Geoffrion",3.42682926829268,0.489270386266094,0.25,0,0,0,0,"hockey"
"Bert Bell",3.625,0.179,0,0,0,0,1,"football"
"Bert Marshall",0.292682926829268,0.15,0,0,0,0,0,"hockey"
"Bert Olmstead",0.780487804878049,0.229166666666667,0,0,0,0,1,"hockey"
"Bibb Falk",0.00617283950617284,1,0,0,0,0,0,"baseball"
"Bid McPhee",1.27777777777778,0.389,0,0,0,0,1,"baseball"
"Bill Adair",0.0617283950617284,0.4,0,0,0,0,0,"baseball"
"Bill Armour",4.54320987654321,0.524,0,0,0,0,0,"baseball"
"Bill Arnsparger",2.1875,0.2,0,0,0,0,0,"football"
