"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"1","Manny Acta",5.49382716049383,0.418,0,0,0,0,0
"2","Bill Adair",0.0617283950617284,0.4,0,0,0,0,0
"3","Joe Adcock",1,0.463,0,0,0,0,0
"4","Bob Addy",0.191358024691358,0.258,0,0,0,0,0
"5","Bob Allen",1.10493827160494,0.5,0,0,0,0,0
"6","Doug Allison",0.141975308641975,0.087,0,0,0,0,0
"7","Sandy Alomar",0.037037037037037,0.5,0,0,0,0,0
"8","Felipe Alou",12.6851851851852,0.503,0.363636363636364,0.25,0,0,0
"9","Walter Alston",22.5802469135802,0.558,4,0.523,7,4,1
"10","Joe Altobelli",5.20987654320988,0.518,0.818181818181818,0.778,1,1,0
"11","Joey Amalfitano",1.14197530864198,0.363,0,0,0,0,0
"12","Sparky Anderson",24.8765432098765,0.545,5,0.618,5,3,1
"13","Cap Anson",14.1234567901235,0.578,0,0,5,0,1
"14","Luke Appling",0.246913580246914,0.25,0,0,0,0,1
"15","Bill Armour",4.54320987654321,0.524,0,0,0,0,0
"16","Ken Aspromonte",2.96296296296296,0.458,0,0,0,0,0
"17","Brad Ausmus",4.98765432098765,0.478,0.272727272727273,0,0,0,0
"18","Jimmy Austin",0.462962962962963,0.413,0,0,0,0,0
"19","Del Baker",4.84567901234568,0.538,0.636363636363636,0.429,1,0,0
"20","Dusty Baker",21.6049382716049,0.532,5,0.418,1,0,0
"21","Rocco Baldelli",1,0.623,0.272727272727273,0,0,0,0
"22","George Bamberger",5.77777777777778,0.489,0,0,0,0,0
"23","Dave Bancroft",3.7962962962963,0.407,0,0,0,0,1
"24","Frank Bancroft",4.4320987654321,0.53,0,0,1,1,0
"25","Jeff Banister",3.93827160493827,0.509,0.727272727272727,0.25,0,0,0
"26","Rod Barajas",0.0493827160493827,0.125,0,0,0,0,0
"27","Sam Barkley",0.358024691358025,0.368,0,0,0,0,0
"28","Billy Barnie",9.11728395061728,0.438,0,0,0,0,0
"29","Ed Barrow",3.94444444444444,0.492,0.545454545454545,0.667,1,1,1
"30","Jack Barry",0.969135802469136,0.592,0,0,0,0,0
"31","Joe Battin",0.197530864197531,0.281,0,0,0,0,0
"32","Hank Bauer",7.03086419753086,0.522,0.363636363636364,1,1,1,0
"33","Don Baylor",8.12345679012346,0.476,0.363636363636364,0.25,0,0,0
"34","Buddy Bell",7.67283950617284,0.418,0,0,0,0,0
"35","David Bell",1,0.463,0,0,0,0,0
"36","Vern Benson",0.00617283950617284,1,0,0,0,0,0
"37","Yogi Berra",5.74074074074074,0.522,1.72727272727273,0.474,2,0,1
"38","Terry Bevington",2.69753086419753,0.509,0,0,0,0,0
"39","Hugo Bezdek",2.19753086419753,0.47,0,0,0,0,0
"40","John Bickerton",0.00617283950617284,0,0,0,0,0,0
"41","Joe Birmingham",2.2716049382716,0.471,0,0,0,0,0
"42","Del Bissonette",0.37037037037037,0.424,0,0,0,0,0
"43","Bud Black",11.4135802469136,0.486,0.454545454545455,0.2,0,0,0
"44","Lena Blackburne",1.4320987654321,0.427,0,0,0,0,0
"45","Ray Blades",1.2037037037037,0.557,0,0,0,0,0
"46","Walter Blair",0.0123456790123457,0.5,0,0,0,0,0
"47","Ossie Bluege",4.76543209876543,0.488,0,0,0,0,0
"48","Bruce Bochy",24.8888888888889,0.497,7,0.571,4,3,0
"49","Tim Bogar",0.135802469135802,0.636,0,0,0,0,0
"50","John Boles",2.75308641975309,0.46,0,0,0,0,0
"51","Tommy Bond",0.037037037037037,0.333,0,0,0,0,0
"52","Aaron Boone",2,0.627,1.27272727272727,0.5,0,0,0
"53","Bob Boone",5.03086419753086,0.455,0,0,0,0,0
"54","Steve Boros",2.2716049382716,0.457,0,0,0,0,0
"55","Jim Bottomley",0.481481481481481,0.273,0,0,0,0,1
"56","Lou Boudreau",14.8395061728395,0.487,0.545454545454545,0.667,1,1,1
"57","Larry Bowa",5.26543209876543,0.49,0,0,0,0,0
"58","Frank Bowerman",0.469135802469136,0.289,0,0,0,0,0
"59","Bill Boyd",0.0123456790123457,0,0,0,0,0,0
"60","Ken Boyer",2.2037037037037,0.466,0,0,0,0,0
"61","Bill Bradley",1.22222222222222,0.497,0,0,0,0,0
"62","Bobby Bragan",5.72222222222222,0.481,0,0,0,0,0
"63","Bob Brenly",3.48765432098765,0.536,1.81818181818182,0.55,1,1,0
"64","Roger Bresnahan",4.77777777777778,0.432,0,0,0,0,1
"65","Dave Bristol",8.79012345679012,0.462,0,0,0,0,0
"66","Daren Brown",0.308641975308642,0.38,0,0,0,0,0
"67","Freeman Brown",0.253086419753086,0.22,0,0,0,0,0
"68","Mordecai Brown",0.703703703703704,0.442,0,0,0,0,1
"69","Tom Brown",0.845679012345679,0.471,0,0,0,0,0
"70","Earle Brucker",0.0308641975308642,0.6,0,0,0,0,0
"71","Al Buckenberger",6.43827160493827,0.475,0,0,0,0,0
"72","Charlie Buffinton",0.716049382716049,0.53,0,0,0,0,0
