"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"1","Rick Adelman",21.8414634146341,0.582,9.8125,0.503,2,0,0
"2","Richie Adubato",4.47560975609756,0.346,0.5,0.25,0,0,0
"3","Danny Ainge",2.75609756097561,0.602,0.75,0.25,0,0,0
"4","Stan Albeck",7,0.535,2.75,0.409,0,0,0
"5","Curly Armstrong",0.658536585365854,0.407,0,0,0,0,0
"6","Kenny Atkinson",3.73170731707317,0.382,0.3125,0.2,0,0,0
"7","Al Attles",13.109756097561,0.518,3.8125,0.508,1,1,0
"8","Red Auerbach",17.280487804878,0.662,10.5,0.589,0,9,1
"9","Randy Ayers",0.634146341463415,0.404,0,0,0,0,0
"10","Johnny Bach",3.25609756097561,0.356,0,0,0,0,0
"11","Ed Badger",2,0.512,0.1875,0.333,0,0,0
"12","Tony Barone",0.634146341463415,0.308,0,0,0,0,0
"13","Tom Barrise",0.024390243902439,0,0,0,0,0,0
"14","Bob Bass",1.35365853658537,0.541,0.375,0.167,0,0,0
"15","Elgin Baylor",2.69512195121951,0.389,0,0,0,0,0
"16","Butch Beard",2,0.366,0,0,0,0,0
"17","Clair Bee",1.69512195121951,0.23,0.125,0,0,0,0
"18","John Beilein",0.658536585365854,0.259,0,0,0,0,0
"19","Carl Bennett",0.0731707317073171,0,0,0,0,0,0
"20","Bill Berry",0.024390243902439,0,0,0,0,0,0
"21","Bill Bertka",0.0365853658536585,0.667,0,0,0,0,0
"22","Al Bianchi",2,0.323,0,0,0,0,0
"23","Bernie Bickerstaff",11.4268292682927,0.447,2.0625,0.364,0,0,0
"24","J.B. Bickerstaff",2.71951219512195,0.395,0.3125,0.2,0,0,0
"25","Paul Birch",3.25609756097561,0.449,0.875,0.286,0,0,0
"26","Larry Bird",2.60975609756098,0.687,3.25,0.615,1,0,0
"27","Bill Blair",1.31707317073171,0.269,0.125,0,0,0,0
"28","David Blatt",1.5,0.675,1.25,0.7,1,0,0
"29","James Borrego",2.10975609756098,0.405,0,0,0,0,0
"30","Vince Boryla",2.01219512195122,0.485,0,0,0,0,0
"31","Jeff Bower",0.890243902439024,0.466,0,0,0,0,0
"32","Jim Boylan",1.29268292682927,0.434,0.25,0,0,0,0
"33","Jim Boylen",1.45121951219512,0.319,0,0,0,0,0
"34","Carl Braun",1.54878048780488,0.315,0,0,0,0,0
"35","Allan Bristow",5,0.505,0.8125,0.385,0,0,0
"36","Scott Brooks",10.3780487804878,0.569,5.75,0.522,1,0,0
"37","Jim Brovelli",0.219512195121951,0.278,0,0,0,0,0
"38","Brett Brown",6.75609756097561,0.388,1.375,0.545,0,0,0
"39","Herb Brown",1.78048780487805,0.493,0.75,0.417,0,0,0
"40","Hubie Brown",11.2073170731707,0.461,2.375,0.368,0,0,0
"41","Larry Brown",24.4146341463415,0.548,12.0625,0.518,3,1,1
"42","Mike Brown",6.86585365853659,0.616,5.1875,0.566,1,0,0
"43","Tony Brown",0.548780487804878,0.244,0,0,0,0,0
"44","Philip Brownstein",0.963414634146341,0.633,0.125,0,0,0,0
"45","Quinn Buckner",1,0.159,0,0,0,0,0
"46","Bucky Buckwalter",0.451219512195122,0.351,0,0,0,0,0
"47","Mike Budenholzer",6.74390243902439,0.588,3.375,0.5,0,0,0
"48","Walt Budko",0.353658536585366,0.345,0,0,0,0,0
"49","Donnie Butcher",1.36585365853659,0.464,0.375,0.333,0,0,0
"50","Jeff Bzdelik",2.34146341463415,0.38,0.3125,0.2,0,0,0
"51","John Calipari",2.24390243902439,0.391,0.1875,0,0,0,1
"52","Mack Calvin",0.024390243902439,0.5,0,0,0,0,0
"53","Kaleb Canales",0.280487804878049,0.348,0,0,0,0,0
"54","P.J. Carlesimo",6.75609756097561,0.431,1.1875,0.316,0,0,0
"55","Rick Carlisle",17.5609756097561,0.547,7.5,0.483,1,1,0
"56","M.L. Carr",2,0.293,0,0,0,0,0
"57","John Carroll",0.439024390243902,0.389,0.25,0,0,0,0
"58","Butch Carter",2.01219512195122,0.442,0.1875,0,0,0,0
"59","Fred Carter",1.31707317073171,0.296,0,0,0,0,0
"60","Bill Cartwright",1.84146341463415,0.338,0,0,0,0,0
"61","Don Casey",2.90243902439024,0.357,0,0,0,0,0
"62","Dwane Casey",10.0487804878049,0.527,3.4375,0.382,0,0,0
"63","John Castellani",0.439024390243902,0.306,0,0,0,0,0
"64","Al Cervi",6.91463414634146,0.575,3.6875,0.559,0,1,0
"65","Don Chaney",10.1341463414634,0.406,0.6875,0.182,0,0,0
"66","Maurice Cheeks",7.5609756097561,0.492,1,0.313,0,0,0
"67","Jim Cleamons",1.19512195121951,0.286,0,0,0,0,0
"68","Roy Clifford",0.280487804878049,0.565,0.1875,0.333,0,0,0
"69","Steve Clifford",6.74390243902439,0.479,1,0.25,0,0,0
"70","Neil Cohalan",0.731707317073171,0.55,0.3125,0.4,0,0,0
"71","Jerry Colangelo",1.45121951219512,0.496,0.4375,0.429,0,0,0
"72","Doug Collins",10.3536585365854,0.521,3.5,0.411,0,0,0
"73","Michael Cooper",0.170731707317073,0.286,0,0,0,0,0
"74","Tyrone Corbin",3.48780487804878,0.416,0.25,0,0,0,0
"75","Larry Costello",8.90243902439024,0.589,3.75,0.617,2,1,0
"76","Bob Cousy",4.24390243902439,0.405,0,0,0,0,0
"77","Dave Cowens",4.29268292682927,0.457,0.75,0.333,0,0,0
"78","Billy Cunningham",7.92682926829268,0.698,6.5625,0.629,3,1,0
"79","Michael Curry",1,0.476,0.25,0,0,0,0
"80","Glenn Curtis",0.414634146341463,0.353,0,0,0,0,0
"81","Mike D'Antoni",14.4756097560976,0.562,6.125,0.5,0,0,0
"82","Chuck Daly",13.109756097561,0.593,7.875,0.595,3,2,1
"83","Mel Daniels",0.024390243902439,0,0,0,0,0,0
"84","Jimmy Darden",0.75609756097561,0.177,0,0,0,0,0
"85","Johnny Davis",2.67073170731707,0.333,0,0,0,0,0
"86","Dave DeBusschere",2.70731707317073,0.356,0,0,0,0,0
"87","Dutch Dehnert",0.451219512195122,0.459,0,0,0,0,0
"88","Vinny Del Negro",4.80487804878049,0.533,1.8125,0.345,0,0,0
"89","Don Delaney",0.317073170731707,0.269,0,0,0,0,0
"90","Tony DiLeo",0.719512195121951,0.542,0.375,0.333,0,0,0
"91","Terry Dischinger",0.024390243902439,0,0,0,0,0,0
"92","Billy Donovan",4.74390243902439,0.607,2.125,0.441,0,0,0
"93","Eddie Donovan",3.39024390243902,0.302,0,0,0,0,0
"94","Larry Drew",4.73170731707317,0.418,1.5,0.417,0,0,0
"95","Ike Duffey",0.0365853658536585,0.333,0,0,0,0,0
"96","Mike Dunlap",1,0.256,0,0,0,0,0
"97","Mike Dunleavy",16.2073170731707,0.461,4.4375,0.535,1,0,0
"98","Charles Eckman",2.9390243902439,0.51,1.4375,0.435,0,0,0
"99","Johnny Egan",3.42682926829268,0.459,0.5,0.375,0,0,0
"100","Mike Evans",0.682926829268293,0.321,0,0,0,0,0
"101","Mike Farmer",0.109756097560976,0.111,0,0,0,0,0
"102","Bob Feerick",1.80487804878049,0.426,0.125,0,0,0,0
"103","Derek Fisher",1.65853658536585,0.294,0,0,0,0,0
"104","Bill Fitch",25,0.46,6.8125,0.505,2,1,1
"105","Dick Fitzgerald",0.0365853658536585,0.667,0,0,0,0,0
"106","Cotton Fitzsimmons",19.5975609756098,0.518,5.25,0.417,0,0,0
"107","David Fizdale",2.5,0.346,0.375,0.333,0,0,0
"108","Tim Floyd",3.91463414634146,0.28,0.4375,0.429,0,0,0
"109","Chris Ford",8.52439024390244,0.462,1.8125,0.448,0,0,0
