"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"1","Don Shula",30.625,0.677,12,0.528,6,2,1
"2","George Halas",31.0625,0.682,3,0.667,0,6,1
"3","Bill Belichick",25,0.683,14.3333333333333,0.721,9,6,0
"4","Tom Landry",26.125,0.607,12,0.556,5,2,1
"5","Curly Lambeau",23.75,0.631,1.66666666666667,0.6,0,6,1
"6","Paul Brown",20.375,0.672,5.66666666666667,0.529,0,7,1
"7","Andy Reid",21,0.618,9.66666666666667,0.517,2,1,0
"8","Marty Schottenheimer",20.4375,0.613,6,0.278,0,0,0
"9","Chuck Noll",21.375,0.566,8,0.667,4,4,1
"10","Dan Reeves",22.3125,0.535,6.66666666666667,0.55,4,0,0
"11","Chuck Knox",20.875,0.558,6,0.389,0,0,0
"12","Jeff Fisher",21.1875,0.512,3.66666666666667,0.455,1,0,0
"13","Bill Parcells",18.9375,0.569,6.33333333333333,0.579,3,2,1
"14","Tom Coughlin",20,0.531,6.33333333333333,0.632,2,2,0
"15","Mike Shanahan",19.25,0.552,4.66666666666667,0.571,2,2,0
"16","Mike Holmgren",17,0.592,8,0.542,3,1,0
"17","Bud Grant",16.1875,0.621,7.33333333333333,0.455,4,0,1
"18","Joe Gibbs",15.5,0.621,8,0.708,4,3,1
"19","Steve Owen",16.875,0.605,3.33333333333333,0.2,0,2,1
"20","Bill Cowher",15,0.623,7,0.571,2,1,1
"21","Marv Levy",15.9375,0.561,6.33333333333333,0.579,4,0,1
"22","Tony Dungy",13,0.668,6.33333333333333,0.474,1,1,1
"23","Pete Carroll",14,0.596,6.66666666666667,0.55,2,1,0
"24","John Fox",16,0.52,5,0.533,2,0,0
"25","Mike Tomlin",13,0.642,5,0.533,2,1,0
"26","Marvin Lewis",16,0.518,2.33333333333333,0,0,0,0
"27","Sean Payton",13,0.63,5,0.533,1,1,0
"28","Hank Stram",14.875,0.574,2.66666666666667,0.625,2,3,1
"29","Weeb Ewbank",16.625,0.502,1.66666666666667,0.8,1,3,1
"30","Mike McCarthy",12.75,0.618,6,0.556,1,1,0
"31","Jim Mora",14.4375,0.541,2,0,0,0,0
"32","Sid Gillman",14.25,0.552,2,0.167,0,1,1
"33","Mike Ditka",13.5,0.56,4,0.5,1,1,1
"34","Dick Vermeil",14.3125,0.524,3.66666666666667,0.545,2,1,0
"35","John Harbaugh",12,0.615,5.66666666666667,0.588,1,1,0
"36","George Allen",10.5,0.712,3,0.222,1,0,1
"37","George Seifert",11,0.648,5,0.667,2,2,0
"38","Norv Turner",14.8125,0.483,2.66666666666667,0.5,0,0,0
"39","Dennis Green",12.9375,0.546,4,0.333,0,0,0
"40","Don Coryell",12.1875,0.572,3,0.333,0,0,0
"41","Jon Gruden",13,0.51,3,0.556,1,1,0
"42","Buddy Parker",11.75,0.581,1.33333333333333,0.75,0,2,0
"43","John Madden",8.875,0.759,5.33333333333333,0.563,1,1,1
"44","Tom Flores",11.5,0.527,3.66666666666667,0.727,2,2,0
"45","Vince Lombardi",8.5,0.738,3.33333333333333,0.9,2,5,1
"46","Lou Saban",12.5625,0.49,1.33333333333333,0.5,0,2,0
"47","Jack Del Rio",11.6875,0.497,1.33333333333333,0.25,0,0,0
"48","Bill Walsh",9.5,0.609,4.66666666666667,0.714,3,3,1
"49","Buck Shaw",9.375,0.621,1,0.667,0,1,0
"50","Lovie Smith",11,0.506,2,0.5,1,0,0
"51","Jimmy Conzelman",10.4375,0.58,0.666666666666667,0.5,0,2,1
"52","Ted Marchibroda",11.625,0.47,2,0.333,0,0,0
"53","Jack Pardee",10.25,0.53,2,0.167,0,0,0
"54","Jason Garrett",9.5,0.559,1.66666666666667,0.4,0,0,0
"55","Sam Wyche",11.9375,0.44,1.66666666666667,0.6,1,0,0
"56","Gary Kubiak",9.8125,0.522,2.33333333333333,0.714,1,1,0
"57","Bum Phillips",9.9375,0.516,2.33333333333333,0.571,0,0,0
"58","Wade Phillips",9.125,0.562,2,0.167,0,0,0
"59","Dave Wannstedt",10.5625,0.485,1.66666666666667,0.4,0,0,0
"60","Brian Billick",9,0.556,2.66666666666667,0.625,1,1,0
"61","Ray Flaherty",7.625,0.684,2,0.333,0,2,1
"62","Jimmy Johnson",9,0.556,4.33333333333333,0.692,2,2,1
"63","Blanton Collier",7,0.691,2.33333333333333,0.429,0,1,0
"64","Ron Rivera",8.75,0.546,2.33333333333333,0.429,1,0,0
"65","Forrest Gregg",10.0625,0.469,1.33333333333333,0.5,1,0,1
"66","John Robinson",8.9375,0.524,3.33333333333333,0.4,0,0,0
"67","Bobby Ross",8.5625,0.54,2.66666666666667,0.375,1,0,0
"68","Steve Mariucci",8.6875,0.518,2.33333333333333,0.429,0,0,0
"69","Dick Nolan",9.75,0.457,1.66666666666667,0.4,0,0,0
"70","George Wilson",10,0.447,0.666666666666667,1,0,1,0
"71","Wayne Fontes",8.3125,0.496,1.66666666666667,0.2,0,0,0
"72","Mike Smith",7,0.589,1.66666666666667,0.2,0,0,0
"73","Norm Van Brocklin",10.8125,0.398,0,0,0,0,1
"74","Potsy Clark",7.375,0.604,0.333333333333333,1,0,1,0
"75","Wally Lemm",8.4375,0.5,1,0.333,0,1,0
"76","Greasy Neale",6.9375,0.594,1.33333333333333,0.75,0,2,1
"77","Jim Caldwell",7,0.554,2,0.333,1,0,0
"78","Rex Ryan",7.9375,0.48,2,0.667,0,0,0
"79","Jerry Glanville",8.0625,0.465,2.33333333333333,0.429,0,0,0
"80","Dick Jauron",8.875,0.423,0.333333333333333,0,0,0,0
"81","Guy Chamberlin",5.0625,0.784,0,0,0,4,1
"82","Jim Fassel",7,0.522,1.66666666666667,0.4,1,0,0
"83","Joe Kuharich",8.875,0.417,0,0,0,0,0
"84","Allie Sherman",7,0.528,1,0,0,0,0
"85","Mike Sherman",6,0.594,2,0.333,0,0,0
"86","Mike Zimmer",6,0.599,1.66666666666667,0.4,0,0,0
"87","Bruce Arians",6,0.589,1,0.333,0,0,0
"88","Art Shell",6.75,0.519,1.66666666666667,0.4,0,0,1
"89","Buddy Ryan",6.9375,0.5,1,0,0,0,0
"90","Herm Edwards",8,0.422,2,0.333,0,0,0
"91","Ron Meyer",6.5,0.519,0.666666666666667,0,0,0,0
"92","Jim Lee Howell",5.25,0.663,1.33333333333333,0.5,0,1,0
"93","Mike Martz",5.3125,0.624,2.33333333333333,0.429,1,0,0
"94","Chuck Pagano",6,0.552,2,0.5,0,0,0
"95","Joe Walton",6.9375,0.482,1,0.333,0,0,0
"96","Jerry Burns",5.9375,0.547,2,0.5,0,0,0
"97","Mike Holovak",6.75,0.525,0.666666666666667,0.5,0,0,0
"98","Bill O'Brien",6,0.542,2,0.333,0,0,0
"99","Bart Starr",8.1875,0.408,0.666666666666667,0.5,0,0,1
"100","Roy Andrews",5.125,0.654,0,0,0,0,0
"101","Monte Clark",7.4375,0.433,0.666666666666667,0,0,0,0
"102","Leeman Bennett",7.4375,0.42,1.33333333333333,0.25,0,0,0
"103","Raymond Berry",5.4375,0.552,1.66666666666667,0.6,1,0,1
"104","Dom Capers",8,0.375,0.666666666666667,0.5,0,0,0
"105","Ken Whisenhunt",7.4375,0.403,2,0.667,1,0,0
"106","Bruce Coslet",7.75,0.379,0.333333333333333,0,0,0,0
"107","Jim Haslett",6.75,0.435,0.666666666666667,0.5,0,0,0
"108","Sam Rutigliano",6.0625,0.485,0.666666666666667,0,0,0,0
"109","Chuck Fairbanks",5.3125,0.541,0.666666666666667,0,0,0,0
"110","Nick Skorich",6.125,0.484,0.666666666666667,0,0,0,0
"111","Jim Harbaugh",4,0.695,2.66666666666667,0.625,1,0,0
"112","Ray Malavasi",5.3125,0.518,2,0.5,1,0,0
"113","John McKay",8.3125,0.335,1.33333333333333,0.25,0,0,0
"114","Charley Winner",5.8125,0.5,0,0,0,0,0
"115","Dan Quinn",5,0.538,1.66666666666667,0.6,1,0,0
"116","Joe Schmidt",5.25,0.558,0.333333333333333,0,0,0,1
"117","Ray Perkins",7.3125,0.359,0.666666666666667,0.5,0,0,0
"118","Dennis Erickson",6,0.417,0,0,0,0,0
"119","Rich Kotite",6,0.417,0.666666666666667,0.5,0,0,0
"120","Red Miller",3.875,0.645,1.66666666666667,0.4,1,0,0
"121","John Rauch",4.375,0.588,1.33333333333333,0.5,1,0,0
"122","Barry Switzer",4,0.625,2.33333333333333,0.714,1,1,0
"123","Brad Childress",4.625,0.527,1,0.333,0,0,0
"124","Jim Hanifan",5.8125,0.425,0.333333333333333,0,0,0,0
"125","Walt Michaels",5.4375,0.454,1.33333333333333,0.5,0,0,0
"126","Dan Henning",7,0.344,0,0,0,0,0
"127","Doug Pederson",4,0.594,2,0.667,1,1,0
"128","Doug Marrone",5.125,0.451,1,0.667,0,0,0
"129","Ray Rhodes",5,0.469,1,0.333,0,0,0
"130","Lindy Infante",6,0.375,0.333333333333333,0,0,0,0
"131","Mike Mularkey",5.5625,0.404,0.666666666666667,0.5,0,0,0
"132","Jay Gruden",5.3125,0.418,0.333333333333333,0,0,0,0
"133","Jack Patera",5.875,0.372,0,0,0,0,0
"134","Tommy Prothro",5.5,0.408,0,0,0,0,0
"135","Marion Campbell",7.1875,0.3,0,0,0,0,0
"136","Chan Gailey",5,0.425,0.666666666666667,0,0,0,0
"137","Tommy Hughitt",3.5,0.694,0,0,0,0,0
"138","John Ralston",4.375,0.507,0,0,0,0,0
"139","Eric Mangini",5,0.413,0.333333333333333,0,0,0,0
"140","Sean McVay",3,0.688,1.33333333333333,0.5,1,0,0
"141","Dick Rauch",3.75,0.579,0,0,0,0,0
"142","Pop Ivy",4.75,0.432,0.333333333333333,0,0,0,0
"143","Tony Sparano",4.5625,0.438,0.333333333333333,0,0,0,0
"144","Mike Tice",4.0625,0.492,0.666666666666667,0.5,0,0,0
"145","Paddy Driscoll",3.3125,0.646,0.333333333333333,0,0,0,1
"146","Jim Mora",4,0.484,0.666666666666667,0.5,0,0,0
"147","Neill Armstrong",4,0.469,0.333333333333333,0,0,0,0
"148","Dutch Clark",4.125,0.469,0,0,0,0,1
"149","Adam Gase",4,0.469,0.333333333333333,0,0,0,0
"150","Walt Kiesling",5.625,0.353,0,0,0,0,1
"151","John Mackovic",4,0.469,0.333333333333333,0,0,0,0
"152","Mike McCormack",5.0625,0.364,0,0,0,0,1
"153","Jim Schwartz",5,0.363,0.333333333333333,0,0,0,0
"154","Alex Webster",4.375,0.421,0,0,0,0,0
"155","Romeo Crennel",5.1875,0.337,0,0,0,0,0
"156","Chip Kelly",3.9375,0.444,0.333333333333333,0,0,0,0
"157","Don McCafferty",2.9375,0.62,1.66666666666667,0.8,1,1,0
"158","Jock Sutherland",2.8125,0.636,0.333333333333333,0,0,0,0
"159","Vince Tobin",4.4375,0.394,0.666666666666667,0.5,0,0,0
"160","Red Hickey",3.4375,0.5,0,0,0,0,0
"161","Mike McCoy",4,0.422,0.666666666666667,0.5,0,0,0
"162","Todd Bowles",4.1875,0.388,0,0,0,0,0
"163","Jack Christiansen",4.1875,0.406,0,0,0,0,1
"164","Dudley DeGroot",2.8125,0.619,0.333333333333333,0,0,0,0
"165","Anthony Lynn",3.0625,0.531,0.666666666666667,0.5,0,0,0
"166","Joe Philbin",3.5,0.464,0,0,0,0,0
"167","Hampton Pool",2.9375,0.578,0.333333333333333,0,0,0,0
"168","Dan Devine",3.5,0.481,0.333333333333333,0,0,0,0
"169","Sean McDermott",3,0.521,0.666666666666667,0,0,0,0
"170","Jim Trimble",3,0.556,0,0,0,0,0
"171","Joe Bugel",5,0.3,0,0,0,0,0
"172","Butch Davis",3.6875,0.407,0.333333333333333,0,0,0,0
"173","Ralph Jones",2.5625,0.706,0,0,0,1,0
"174","Red Strader",2.875,0.522,0.333333333333333,0,0,0,0
"175","Hunk Anderson",2.25,0.676,0.666666666666667,0.5,0,1,0
"176","Al Davis",2.625,0.59,0,0,0,0,1
"177","Luke Johnsos",2.25,0.676,0.666666666666667,0.5,0,1,0
"178","Kyle Shanahan",3,0.479,1,0.667,1,0,0
"179","Gene Stallings",3.625,0.405,0,0,0,0,0
"180","June Jones",3.625,0.379,0.333333333333333,0,0,0,0
"181","Mike Munchak",3,0.458,0,0,0,0,1
"182","Gregg Williams",3.5,0.393,0,0,0,0,0
"183","Joe Bach",3,0.438,0,0,0,0,0
"184","Phil Bengtson",2.9375,0.457,0,0,0,0,0
"185","Ron Erhardt",3.0625,0.429,0,0,0,0,0
"186","Leslie Frazier",3.375,0.398,0.333333333333333,0,0,0,0
"187","Bill McPeak",4.375,0.313,0,0,0,0,0
"188","Harland Svare",4.625,0.31,0,0,0,0,0
"189","Jim Dooley",3.5,0.357,0,0,0,0,0
"190","Gus Dorais",3.3125,0.392,0,0,0,0,0
"191","John Michelosen",3,0.435,0,0,0,0,0
"192","Matt Nagy",2,0.625,0.333333333333333,0,0,0,0
"193","Joe Stydahar",3.0625,0.417,1,0.667,0,1,1
"194","Frankie Albert",2.25,0.543,0.333333333333333,0,0,0,0
"195","Red Dawson",3,0.432,0.666666666666667,0.5,0,0,0
"196","Todd Haley",2.8125,0.422,0.333333333333333,0,0,0,0
"197","Dirk Koetter",3,0.396,0,0,0,0,0
"198","David Shula",4.4375,0.268,0,0,0,0,0
"199","Pat Shurmur",4.0625,0.292,0,0,0,0,0
"200","Sammy Baugh",2.625,0.429,0,0,0,0,1
"201","Bill Callahan",2.6875,0.419,1,0.667,1,0,0
"202","Bill Johnson",2.0625,0.545,0,0,0,0,0
"203","Mike Nolan",3.4375,0.327,0,0,0,0,0
"204","Darryl Rogers",3.625,0.31,0,0,0,0,0
"205","Mike Singletary",2.5,0.45,0,0,0,0,1
"206","Mike Vrabel",2,0.563,1,0.667,0,0,0
"207","Bill Austin",3.5,0.321,0,0,0,0,0
"208","Lisle Blackbourn",3,0.354,0,0,0,0,0
"209","Tom Cable",2.75,0.386,0,0,0,0,0
"210","Otto Graham",2.625,0.436,0,0,0,0,1
"211","Dave McGinnis",3.5625,0.298,0,0,0,0,0
"212","Raheem Morris",3,0.354,0,0,0,0,0
"213","Frank Reich",2,0.531,0.666666666666667,0.5,0,0,0
"214","Al Saunders",2.4375,0.436,0,0,0,0,0
"215","Dewey Scanlon",2.25,0.531,0,0,0,0,0
"216","Norm Barry",1.625,0.667,0,0,0,1,0
"217","Milan Creighton",2.875,0.381,0,0,0,0,0
"218","Gunther Cunningham",2,0.5,0,0,0,0,0
"219","Turk Edwards",2.1875,0.471,0,0,0,0,1
"220","Elgie Tobin",1.4375,0.842,0,0,0,1,0
"221","Dave Campo",3,0.313,0,0,0,0,0
"222","Rick Forzano",2,0.469,0,0,0,0,0
"223","Earl Potteiger",1.9375,0.556,0,0,0,1,0
"224","Nick Saban",2,0.469,0,0,0,0,0
"225","Adam Walsh",1.3125,0.75,0.333333333333333,1,0,1,0
"226","Ed Weir",1.625,0.682,0,0,0,0,0
"227","Mike White",2,0.469,0,0,0,0,0
"228","Punk Berryman",1.5625,0.583,0,0,0,0,0
"229","Gus Bradley",3.875,0.226,0,0,0,0,0
"230","Ray Handley",2,0.438,0,0,0,0,0
"231","Bo McMillin",2.375,0.368,0,0,0,0,0
"232","John McVay",2.3125,0.378,0,0,0,0,0
"233","Ray Richards",2.25,0.4,0,0,0,0,0
"234","Mike Riley",3,0.292,0,0,0,0,0
"235","Gene Ronzani",2.875,0.311,0,0,0,0,0
"236","Babe Ruetz",1.9375,0.56,0,0,0,0,0
"237","Paul Schissler",2.875,0.326,0,0,0,0,0
"238","Clark Shaughnessy",1.5,0.667,0.333333333333333,0,0,0,0
"239","Jim Thorpe",2.5625,0.359,0,0,0,0,1
"240","Bull Behman",2.5,0.394,0,0,0,0,0
"241","Rich Brooks",2,0.406,0,0,0,0,0
"242","Joe Collier",1.875,0.448,0.333333333333333,0,0,0,0
"243","Cap Edwards",1.9375,0.542,0,0,0,0,0
"244","Tom Fears",3.0625,0.277,0,0,0,0,1
"245","Arnie Horween",1.375,0.619,0,0,0,0,0
"246","Matt LaFleur",1,0.813,0.666666666666667,0.5,0,0,0
"247","Ben McAdoo",1.75,0.464,0.333333333333333,0,0,0,0
"248","Jimmy Phelan",3.125,0.271,0,0,0,0,0
"249","Marc Trestman",2,0.406,0,0,0,0,0
"250","Lud Wray",2.5625,0.342,0,0,0,0,0
"251","Jack Depler",2.375,0.364,0,0,0,0,0
"252","Dick LeBeau",2.8125,0.267,0,0,0,0,1
"253","Ernie Nevers",2.5625,0.308,0,0,0,0,1
"254","Steve Spurrier",2,0.375,0,0,0,0,0
"255","Rube Ursella",1.5,0.6,0,0,0,0,0
"256","Jim Zorn",2,0.375,0,0,0,0,0
"257","Bud Carson",1.5625,0.46,0.666666666666667,0.5,0,0,0
"258","Lone Star Dietz",1.5,0.5,0,0,0,0,0
"259","Abe Gibron",2.625,0.274,0,0,0,0,0
"260","Tommy Hudspeth",1.5,0.458,0,0,0,0,0
"261","Hue Jackson",3.5,0.205,0,0,0,0,0
"262","Vance Joseph",2,0.344,0,0,0,0,0
"263","Frank Kush",2.5,0.288,0,0,0,0,0
"264","Scott Linehan",2.25,0.306,0,0,0,0,0
"265","Josh McDaniels",1.75,0.393,0,0,0,0,0
"266","John North",2.125,0.324,0,0,0,0,0
"267","Buster Ramsey",1.75,0.407,0,0,0,0,0
"268","Lou Rymkus",1.1875,0.611,0.333333333333333,1,0,1,0
"269","Greg Schiano",2,0.344,0,0,0,0,0
"270","Steve Spagnuolo",3.25,0.212,0,0,0,0,0
"271","Paul Wiggin",2.1875,0.314,0,0,0,0,0
"272","Bert Bell",3.625,0.179,0,0,0,0,1
"273","Guil Falcon",1.5625,0.5,0,0,0,0,0
"274","Harry Gilmer",1.75,0.385,0,0,0,0,0
"275","Cecil Isbell",2.125,0.303,0.333333333333333,0,0,0,0
"276","Rod Marinelli",3,0.208,0,0,0,0,0
"277","Mike Pettine",2,0.313,0,0,0,0,0
"278","Kay Stephenson",2.25,0.278,0,0,0,0,0
"279","Jack Faulkner",2,0.29,0,0,0,0,0
"280","Al Groh",1,0.563,0,0,0,0,0
"281","John Mazur",1.875,0.3,0,0,0,0,0
"282","Cap McEwan",1.3125,0.45,0,0,0,0,0
"283","Matt Patricia",2,0.297,0,0,0,0,0
"284","Nelson Talbot",1.125,0.6,0,0,0,0,0
"285","Joe Vitt",1.3125,0.429,0,0,0,0,0
"286","Charlie Waller",1.1875,0.563,0,0,0,0,0
"287","Bob Waterfield",2.125,0.273,0,0,0,0,1
"288","Bud Wilkinson",1.8125,0.31,0,0,0,0,0
"289","Doc Alexander",1.125,0.5,0,0,0,0,0
"290","Dennis Allen",2.25,0.222,0,0,0,0,0
"291","Ed Biles",1.9375,0.258,0,0,0,0,0
"292","Hugh Campbell",1.875,0.267,0,0,0,0,0
"293","Bob Folwell",0.75,0.667,0,0,0,0,0
"294","Jack Forsyth",1,0.571,0,0,0,0,0
"295","Frank Gansz",1.9375,0.274,0,0,0,0,0
"296","Bob Hollway",1.75,0.315,0,0,0,0,0
"297","Ed Khayat",1.5625,0.354,0,0,0,0,0
"298","Dick MacPherson",2,0.25,0,0,0,0,0
"299","Fritz Pollard",0.8125,0.667,0,0,0,0,1
"300","Homer Rice",1.6875,0.296,0,0,0,0,0
"301","Carl Storck",2.375,0.235,0,0,0,0,0
"302","Doug Wycoff",1.375,0.471,0,0,0,0,0
"303","Bill Arnsparger",2.1875,0.2,0,0,0,0,0
"304","Hugh Devore",1.625,0.28,0,0,0,0,0
"305","Vic Fangio",1,0.438,0,0,0,0,0
"306","Frank Filchock",1.75,0.259,0,0,0,0,0
"307","Herb Kopf",1.9375,0.241,0,0,0,0,0
"308","J.D. Roberts",2.1875,0.227,0,0,0,0,0
"309","Ralph Scott",1,0.467,0,0,0,0,0
"310","Clipper Smith",1.5,0.304,0,0,0,0,0
"311","Jerry Williams",1.9375,0.241,0,0,0,0,0
"312","Dutch Bergman",0.625,0.667,0.666666666666667,0.5,0,0,0
"313","Johnny Blood",1.5625,0.24,0,0,0,0,1
"314","Eddie Erdelatz",1,0.375,0,0,0,0,0
"315","Kevin Gilbride",1.375,0.273,0,0,0,0,0
"316","Archie Golembeski",0.75,0.545,0,0,0,0,0
"317","Gus Henderson",0.6875,0.545,0,0,0,0,0
"318","Tut Imlay",0.625,0.667,0,0,0,0,0
"319","Freddie Kitchens",1,0.375,0,0,0,0,0
"320","Brick Muller",0.625,0.667,0,0,0,0,0
"321","Mike Nixon",2.375,0.167,0,0,0,0,0
"322","Bob Snyder",0.75,0.5,0,0,0,0,0
"323","Mac Speedie",1.625,0.24,0,0,0,0,1
"324","Jim Tomsula",1.0625,0.353,0,0,0,0,0
"325","John Armstrong",0.5625,0.714,0,0,0,0,0
"326","Dan Campbell",0.75,0.417,0,0,0,0,0
