"","N","GR","WL%","PGR","PWL%","CC","C","HOF"
"1","Sid Abel",11.7560975609756,0.472187886279357,4.75,0.421,0,0,1
"2","Jack Adams",11.7560975609756,0.514321295143213,6.5625,0.5,3,3,1
"3","Gary Agnew",0.0609756097560976,0,0,0,0,0,0
"4","Keith Allen",1.82926829268293,0.432203389830508,0.6875,0.273,0,0,0
"5","Dave Allison",0.304878048780488,0.0833333333333333,0,0,0,0,0
"6","Jim Anderson",0.658536585365854,0.0816326530612245,0,0,0,0,0
"7","John Anderson",2,0.482758620689655,0,0,0,0,0
"8","Lou Angotti",1.36585365853659,0.22,0,0,0,0,0
"9","Al Arbour",19.5975609756098,0.57542310522443,13.0625,0.589,4,4,1
"10","George Armstrong",0.573170731707317,0.395348837209302,0,0,0,0,1
"11","Scott Arniel",1.5,0.428571428571429,0,0,0,0,0
"12","Mike Babcock",15.8658536585366,0.626118067978533,10.25,0.549,1,1,0
"13","Bill Barber",1.65853658536585,0.646017699115044,0.6875,0.273,0,0,1
"14","Doug Barkley",0.939024390243902,0.303030303030303,0,0,0,0,0
"15","Andre Beaulieu",0.390243902439024,0.206896551724138,0,0,0,0,0
"16","Jared Bednar",3.79268292682927,0.516245487364621,1.125,0.5,0,0,0
"17","Danny Belisle",1.17073170731707,0.354430379746835,0,0,0,0,0
"18","NJD Bench",0.560975609756098,0.512820512820513,0,0,0,0,0
"19","Red Berenson",2.48780487804878,0.581395348837209,0.875,0.357,0,0,0
"20","Michel Bergeron",9.65853658536585,0.491279069767442,4.25,0.456,0,0,0
"21","Bob Berry",10.4878048780488,0.519621109607578,2.0625,0.333,0,0,0
"22","Craig Berube",3.54878048780488,0.619433198380567,2.0625,0.576,1,1,0
"23","Nick Beverley",0.207317073170732,0.6,0.375,0.333,0,0,0
"24","Don Blackburn",1.70731707317073,0.4,0.1875,0,0,0,0
"25","Wren Blair",1.79268292682927,0.424778761061947,0.875,0.5,0,0,0
"26","Toe Blake",11.1463414634146,0.662251655629139,7.4375,0.689,8,8,1
"27","Jeff Blashill",4.82926829268293,0.438953488372093,0.3125,0.2,0,0,0
"28","Marc Boileau",1.84146341463415,0.519685039370079,0.5625,0.556,0,0,0
"29","Leo Boivin",1.18292682926829,0.345679012345679,0.1875,0.333,0,0,1
"30","Frank Boucher",6.42682926829268,0.407657657657658,1.6875,0.481,1,1,1
"31","Georges Boucher",2.01219512195122,0.367647058823529,0.125,0,0,0,1
"32","Guy Boucher",5.17073170731707,0.505291005291005,2.3125,0.595,0,0,0
"33","Bruce Boudreau",12,0.652474108170311,5.625,0.478,0,0,0
